kelas,hari,tanggal,mata_kuliah,waktu
4ka27,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka27,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka27,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka27,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka28,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka28,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka28,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka28,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka28,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka28,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka28,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka29,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka29,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka29,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka29,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka29,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka29,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka29,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka30,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka30,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka30,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka30,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka30,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka30,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka30,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka31,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka31,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka31,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka31,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka31,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka31,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka31,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka32,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka32,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka32,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka32,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka32,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka32,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka32,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
1kb01,Jum'at,01 Agustus 2025,Algoritma dan Pemrograman 2,14.15 - 15.15
1kb01,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1kb01,Senin,04 Agustus 2025,Fisika Dasar 2,11.45- 12.45
1kb01,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1kb01,Selasa,05 Agustus 2025,Bahasa Inggris,09.15 - 10.15
1kb01,Selasa,05 Agustus 2025,Pengantar Teknologi Informasi **,11.45- 12.45
1kb01,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1kb01,Kamis,07 Agustus 2025,Agama Khonghucu,09.15 - 10.15
1kb01,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1kb01,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1kb01,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1kb01,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1kb01,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
1kb02,Jum'at,01 Agustus 2025,Algoritma dan Pemrograman 2,14.15 - 15.15
1kb02,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1kb02,Senin,04 Agustus 2025,Fisika Dasar 2,11.45- 12.45
1kb02,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1kb02,Selasa,05 Agustus 2025,Bahasa Inggris,09.15 - 10.15
1kb02,Selasa,05 Agustus 2025,Pengantar Teknologi Informasi **,11.45- 12.45
1kb02,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1kb02,Kamis,07 Agustus 2025,Agama Khonghucu,09.15 - 10.15
1kb02,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1kb02,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1kb02,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1kb02,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1kb02,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
1kb03,Jum'at,01 Agustus 2025,Algoritma dan Pemrograman 2,14.15 - 15.15
1kb03,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1kb03,Senin,04 Agustus 2025,Fisika Dasar 2,11.45- 12.45
1kb03,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1kb03,Selasa,05 Agustus 2025,Bahasa Inggris,09.15 - 10.15
1kb03,Selasa,05 Agustus 2025,Pengantar Teknologi Informasi **,11.45- 12.45
1kb03,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1kb03,Kamis,07 Agustus 2025,Agama Khonghucu,09.15 - 10.15
1kb03,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1kb03,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1kb03,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1kb03,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1kb03,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
1kb04,Jum'at,01 Agustus 2025,Algoritma dan Pemrograman 2,14.15 - 15.15
1kb04,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1kb04,Senin,04 Agustus 2025,Fisika Dasar 2,11.45- 12.45
1kb04,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1kb04,Selasa,05 Agustus 2025,Bahasa Inggris,09.15 - 10.15
1kb04,Selasa,05 Agustus 2025,Pengantar Teknologi Informasi **,11.45- 12.45
1kb04,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1kb04,Kamis,07 Agustus 2025,Agama Khonghucu,09.15 - 10.15
1kb04,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1kb04,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1kb04,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1kb04,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1kb04,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
1kb05,Jum'at,01 Agustus 2025,Algoritma dan Pemrograman 2,14.15 - 15.15
1kb05,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1kb05,Senin,04 Agustus 2025,Fisika Dasar 2,11.45- 12.45
1kb05,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1kb05,Selasa,05 Agustus 2025,Bahasa Inggris,09.15 - 10.15
1kb05,Selasa,05 Agustus 2025,Pengantar Teknologi Informasi **,11.45- 12.45
1kb05,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1kb05,Kamis,07 Agustus 2025,Agama Khonghucu,09.15 - 10.15
1kb05,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
